Concept,Unique Cognates,Coverage (Absolute),Coverage (Relative)
ABIU,3,5,0.5555555555555556
ABOVE,3,5,0.5555555555555556
ACAI PALM,1,7,0.7777777777777778
AGOUTI,2,7,0.7777777777777778
ALL,6,7,0.7777777777777778
ALLIGATOR,5,7,0.7777777777777778
ANACONDA,2,6,0.6666666666666666
ANIMAL,2,7,0.7777777777777778
ANT,8,7,0.7777777777777778
ANTEATER,4,7,0.7777777777777778
ARM,3,6,0.6666666666666666
ARMADILLO,4,6,0.6666666666666666
ARMY ANT,5,7,0.7777777777777778
ARRIVE,4,7,0.7777777777777778
ARROW,5,9,1.0
ASH,3,5,0.5555555555555556
AXE,3,9,1.0
BACK,3,7,0.7777777777777778
BAD,10,7,0.7777777777777778
BANANA,4,8,0.8888888888888888
BARK,3,7,0.7777777777777778
BAT,3,7,0.7777777777777778
BE ALIVE,4,4,0.4444444444444444
BE ANGRY,4,7,0.7777777777777778
BEE,4,7,0.7777777777777778
BELLY,5,8,0.8888888888888888
BIG,5,7,0.7777777777777778
BIRD,1,3,0.3333333333333333
BITE,4,8,0.8888888888888888
BITTER,4,8,0.8888888888888888
BITTER MANIOC,3,7,0.7777777777777778
BLACK,7,8,0.8888888888888888
BLOOD,1,8,0.8888888888888888
BLOW,4,7,0.7777777777777778
BLOWGUN,3,6,0.6666666666666666
BLUE,4,4,0.4444444444444444
BLUE OR GREEN,4,5,0.5555555555555556
BLUE-AND-YELLOW MACAW,4,8,0.8888888888888888
BONE,1,7,0.7777777777777778
BOW,5,9,1.0
BOY,6,6,0.6666666666666666
BRANCH,2,7,0.7777777777777778
BRAZIL NUT,6,7,0.7777777777777778
BREAST,3,8,0.8888888888888888
BREATHE,1,7,0.7777777777777778
BURN,8,7,0.7777777777777778
BUTTOCKS,2,7,0.7777777777777778
CAIMAN,3,7,0.7777777777777778
CANOE,4,9,1.0
CAPUCHIN MONKEY,3,8,0.8888888888888888
CAPYBARA,4,6,0.6666666666666666
CARRY,9,7,0.7777777777777778
CATCH,2,7,0.7777777777777778
CHEEK,3,7,0.7777777777777778
CHICKEN,2,8,0.8888888888888888
CHILD,6,8,0.8888888888888888
CHIN,2,7,0.7777777777777778
CICADA,3,7,0.7777777777777778
CLOTHES,4,7,0.7777777777777778
CLOUD,4,6,0.6666666666666666
COATI,3,7,0.7777777777777778
COLD,2,6,0.6666666666666666
COME,3,5,0.5555555555555556
COOK,3,7,0.7777777777777778
CORRECT,2,2,0.2222222222222222
COTTON,2,6,0.6666666666666666
COUGH,1,7,0.7777777777777778
CRY,2,7,0.7777777777777778
CULTIVATED FIELD,6,7,0.7777777777777778
CURASSOW,3,7,0.7777777777777778
CUT,2,7,0.7777777777777778
DAUGHTER,4,7,0.7777777777777778
DAY,4,5,0.5555555555555556
DEER,3,8,0.8888888888888888
DIE,6,8,0.8888888888888888
DIG,3,7,0.7777777777777778
DIRTY,7,7,0.7777777777777778
DOG,3,8,0.8888888888888888
DOLPHIN,5,7,0.7777777777777778
DOVE,4,6,0.6666666666666666
DRINK,3,7,0.7777777777777778
DRY,5,7,0.7777777777777778
DUST,3,4,0.4444444444444444
EAGLE OR HAWK,3,8,0.8888888888888888
EAR,1,8,0.8888888888888888
EARTHWORM,1,7,0.7777777777777778
EAT,5,7,0.7777777777777778
EGG,3,8,0.8888888888888888
ELECTRIC EEL,2,7,0.7777777777777778
EYE,2,8,0.8888888888888888
FAECES,1,7,0.7777777777777778
FALL,5,7,0.7777777777777778
FAN,5,7,0.7777777777777778
FAR,3,4,0.4444444444444444
FAST,4,5,0.5555555555555556
FAT,4,7,0.7777777777777778
FATHER,3,8,0.8888888888888888
FIGHT,1,2,0.2222222222222222
FINGERNAIL,4,7,0.7777777777777778
FIRE,2,9,1.0
FIREWOOD,3,8,0.8888888888888888
FIRST,4,7,0.7777777777777778
FISH,3,9,1.0
FISHHOOK,4,8,0.8888888888888888
FLESH OR MEAT,2,8,0.8888888888888888
FLOWER,2,7,0.7777777777777778
FLY,3,4,0.4444444444444444
FOLLOW,2,3,0.3333333333333333
FOOD,6,7,0.7777777777777778
FOOT,3,9,1.0
FOREHEAD,2,7,0.7777777777777778
FOREST,3,5,0.5555555555555556
FRUIT,4,7,0.7777777777777778
FRUIT TREE,3,7,0.7777777777777778
FULL,9,7,0.7777777777777778
GENIPA,2,6,0.6666666666666666
GIRL,6,7,0.7777777777777778
GIVE,2,6,0.6666666666666666
GO,2,7,0.7777777777777778
GOOD,4,7,0.7777777777777778
GOURD,2,5,0.5555555555555556
GRANDCHILD,1,7,0.7777777777777778
GRASS,4,5,0.5555555555555556
GUAN,2,7,0.7777777777777778
GUAVA,2,5,0.5555555555555556
HAIR,4,8,0.8888888888888888
HAMMOCK,2,7,0.7777777777777778
HAND,3,9,1.0
HAPPY,4,7,0.7777777777777778
HARD,1,7,0.7777777777777778
HE,2,5,0.5555555555555556
HEAD,2,7,0.7777777777777778
HEAR,1,7,0.7777777777777778
HEART,4,6,0.6666666666666666
HEAVY,1,7,0.7777777777777778
HERE,1,7,0.7777777777777778
HILL,2,8,0.8888888888888888
HOLD OR TAKE,3,5,0.5555555555555556
HOLE,1,7,0.7777777777777778
HOUSE,7,8,0.8888888888888888
HOWLER MONKEY,2,8,0.8888888888888888
HUSBAND,2,7,0.7777777777777778
I,3,6,0.6666666666666666
INGA,1,6,0.6666666666666666
INSIDE,3,7,0.7777777777777778
JAGUAR,1,8,0.8888888888888888
KILL,8,6,0.6666666666666666
KINGFISHER,2,6,0.6666666666666666
KNEE,7,6,0.6666666666666666
KNIFE,4,9,1.0
KNOW,3,7,0.7777777777777778
LAKE,3,8,0.8888888888888888
LAUGH,2,7,0.7777777777777778
LEAF,1,7,0.7777777777777778
LEG,3,8,0.8888888888888888
LIANA,1,6,0.6666666666666666
LIE (REST),3,7,0.7777777777777778
LIGHTNING,4,7,0.7777777777777778
LIVER,1,6,0.6666666666666666
LONG,5,7,0.7777777777777778
LOUSE,1,6,0.6666666666666666
LUNG FISH,1,7,0.7777777777777778
MAIZE,4,8,0.8888888888888888
MAN,2,8,0.8888888888888888
MANATEE,4,7,0.7777777777777778
MANIOC,3,6,0.6666666666666666
MANY,9,8,0.8888888888888888
MATERNAL AUNT,1,3,0.3333333333333333
MATERNAL UNCLE,1,7,0.7777777777777778
MILK,2,8,0.8888888888888888
MONTH,1,7,0.7777777777777778
MOON,1,9,1.0
MOTHER,1,9,1.0
MOUTH,4,8,0.8888888888888888
NAME,1,6,0.6666666666666666
NEAR,6,6,0.6666666666666666
NECK,2,7,0.7777777777777778
NECKLACE,4,7,0.7777777777777778
NEW,2,7,0.7777777777777778
NIGHT,2,7,0.7777777777777778
NIGHT MONKEY,4,7,0.7777777777777778
NOSE,3,7,0.7777777777777778
NUNBIRD,1,7,0.7777777777777778
OAR,3,6,0.6666666666666666
OLD,2,7,0.7777777777777778
OLDER BROTHER,2,7,0.7777777777777778
OLDER SISTER,2,7,0.7777777777777778
ONE,1,6,0.6666666666666666
OPOSSUM,4,7,0.7777777777777778
ORIOLE,1,6,0.6666666666666666
OTTER,4,7,0.7777777777777778
OWL,2,7,0.7777777777777778
PACA,4,6,0.6666666666666666
PACU,5,6,0.6666666666666666
PADDLE,2,7,0.7777777777777778
PAN,1,5,0.5555555555555556
PARROT,4,6,0.6666666666666666
PATERNAL AUNT,2,7,0.7777777777777778
PATERNAL UNCLE,3,6,0.6666666666666666
PATH,1,7,0.7777777777777778
PAXIUBA,3,6,0.6666666666666666
PEACH PALM,4,7,0.7777777777777778
PECCARY,5,9,1.0
PENIS,3,8,0.8888888888888888
PIECE,3,7,0.7777777777777778
PIERCE,3,7,0.7777777777777778
PIRANHA,3,8,0.8888888888888888
PIRARUCU,3,6,0.6666666666666666
PLAY,4,5,0.5555555555555556
PORCUPINE,1,6,0.6666666666666666
POT,2,7,0.7777777777777778
PREGNANT,4,6,0.6666666666666666
PULL,5,5,0.5555555555555556
PUMA,1,7,0.7777777777777778
PURPLE BANANA,5,7,0.7777777777777778
PUSH,1,7,0.7777777777777778
RAIN,4,8,0.8888888888888888
RED,3,8,0.8888888888888888
RED-AND-GREEN MACAW,5,8,0.8888888888888888
RIPE,2,7,0.7777777777777778
RIVER,3,5,0.5555555555555556
ROOT,1,6,0.6666666666666666
ROPE,2,4,0.4444444444444444
ROTTEN,1,7,0.7777777777777778
RUB,2,5,0.5555555555555556
SALT,2,5,0.5555555555555556
SAND,2,8,0.8888888888888888
SCRATCH,2,5,0.5555555555555556
SCROTUM,2,8,0.8888888888888888
SEE,2,6,0.6666666666666666
SEED,3,7,0.7777777777777778
SEW,5,5,0.5555555555555556
SHAMAN,3,7,0.7777777777777778
SHARP,3,4,0.4444444444444444
SHARPEN,3,7,0.7777777777777778
SHORT,4,2,0.2222222222222222
SICK,4,8,0.8888888888888888
SING,4,5,0.5555555555555556
SIT,1,7,0.7777777777777778
SKIN,3,7,0.7777777777777778
SLEEP,3,7,0.7777777777777778
SMELL,2,6,0.6666666666666666
SMOKE,3,3,0.3333333333333333
SMOOTH,3,3,0.3333333333333333
SNAKE,4,7,0.7777777777777778
SOIL,2,7,0.7777777777777778
SON,6,8,0.8888888888888888
SPEAK,3,6,0.6666666666666666
SPEAR,2,4,0.4444444444444444
SPIDER MONKEY,4,6,0.6666666666666666
SPIT,4,6,0.6666666666666666
SPLIT,4,4,0.4444444444444444
SQUEEZE,6,7,0.7777777777777778
STAND,1,7,0.7777777777777778
STAR,2,9,1.0
STICK,3,6,0.6666666666666666
STINGRAY,2,8,0.8888888888888888
STONE,3,8,0.8888888888888888
STRIKE OR BEAT,4,7,0.7777777777777778
SUCK,3,7,0.7777777777777778
SUN,3,9,1.0
SWEAT,2,6,0.6666666666666666
SWEET MANIOC,3,6,0.6666666666666666
SWEET POTATO,4,7,0.7777777777777778
SWELL,4,5,0.5555555555555556
SWIM,4,5,0.5555555555555556
TAIL,2,6,0.6666666666666666
TAPIR,3,8,0.8888888888888888
THAT,3,3,0.3333333333333333
THERE,2,2,0.2222222222222222
THEY,3,5,0.5555555555555556
THICK,2,4,0.4444444444444444
THIN,3,4,0.4444444444444444
THORN,3,7,0.7777777777777778
THREE,3,3,0.3333333333333333
THROW,1,5,0.5555555555555556
THUNDER,3,7,0.7777777777777778
TIE,3,7,0.7777777777777778
TOBACCO,3,7,0.7777777777777778
TONGUE,1,8,0.8888888888888888
TOOTH,2,8,0.8888888888888888
TREE,3,8,0.8888888888888888
TURN,2,2,0.2222222222222222
TURTLE,3,9,1.0
TWO,2,8,0.8888888888888888
URUCU,2,7,0.7777777777777778
VAGINA,5,6,0.6666666666666666
VINE,6,7,0.7777777777777778
VOMIT,2,6,0.6666666666666666
VULTURE,4,7,0.7777777777777778
WALK,2,4,0.4444444444444444
WARM,5,5,0.5555555555555556
WASH,3,6,0.6666666666666666
WASP,4,7,0.7777777777777778
WATER,3,9,1.0
WE,3,4,0.4444444444444444
WE (EXCLUSIVE),1,2,0.2222222222222222
WE (INCLUSIVE),1,2,0.2222222222222222
WEASEL,1,6,0.6666666666666666
WEAVE,2,7,0.7777777777777778
WET,4,7,0.7777777777777778
WHISTLE,4,7,0.7777777777777778
WHITE,3,8,0.8888888888888888
WHITE-LIPPED PECCARY,4,8,0.8888888888888888
WIFE,4,7,0.7777777777777778
WIND,4,7,0.7777777777777778
WING,1,1,0.1111111111111111
WOMAN,7,8,0.8888888888888888
WOOLLY MONKEY,3,8,0.8888888888888888
YAM,4,7,0.7777777777777778
YEAR,1,1,0.1111111111111111
YELLOW,8,7,0.7777777777777778
YES,4,7,0.7777777777777778
YOU,1,7,0.7777777777777778
YOU TWO,1,5,0.5555555555555556
YOUNGER BROTHER,7,7,0.7777777777777778
YOUNGER SISTER,6,7,0.7777777777777778
